epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,6546.43,0.62526,0.44678,0.99042,0.90735,0.76707,0.80051,0.59652,1.00356,0.75096,1.05222,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6630.26,0.61995,0.45846,0.9942,0.85113,0.78068,0.79674,0.59314,1.03492,0.83799,1.04871,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6713.8,0.60678,0.44819,0.99358,0.86811,0.74016,0.79592,0.58825,1.00556,0.80234,1.04298,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6797.5,0.6182,0.44241,0.99025,0.86109,0.74687,0.77194,0.57779,1.02699,0.85095,1.06519,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6881.24,0.61651,0.44742,0.98677,0.84198,0.751,0.77341,0.57689,1.03689,0.84523,1.03446,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,6965.03,0.61305,0.44687,0.9896,0.8422,0.74699,0.76202,0.56973,1.01601,0.83841,1.04461,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7048.73,0.6003,0.42342,0.97933,0.8573,0.76707,0.80135,0.59476,0.99063,0.79792,1.02354,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7132.4,0.62431,0.44066,0.99425,0.86117,0.77226,0.78177,0.57557,1.01275,0.80825,1.05346,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7216.6,0.60112,0.4283,0.98209,0.84449,0.74149,0.77673,0.58305,0.99734,0.82854,1.0199,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7300.38,0.61239,0.43704,0.98975,0.85789,0.76305,0.77353,0.59014,0.98889,0.82249,1.02593,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7384,0.60191,0.4394,0.98332,0.85841,0.74297,0.76116,0.56766,1.01525,0.84051,1.03593,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7467.8,0.58975,0.42558,0.97638,0.85233,0.76498,0.77328,0.57804,1.0218,0.84307,1.02974,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7551.66,0.59631,0.41688,0.97919,0.82678,0.76305,0.7674,0.57795,0.97039,0.87357,1.02554,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,7635.4,0.58856,0.41886,0.97308,0.8357,0.77108,0.77492,0.58576,1.02909,0.8409,1.02556,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,7719,0.59927,0.42435,0.98018,0.85641,0.74297,0.76201,0.57576,1.00051,0.86737,1.04781,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,7802.74,0.59139,0.41772,0.97995,0.82596,0.78142,0.77596,0.58514,0.97812,0.80439,1.02965,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,7886.43,0.59813,0.41419,0.9781,0.84677,0.79518,0.76792,0.59454,0.99854,0.79075,1.03616,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,7970.08,0.59391,0.41726,0.97886,0.82581,0.79967,0.77655,0.57922,1.00161,0.81977,1.03244,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,8053.72,0.58255,0.40206,0.97627,0.84877,0.78313,0.77431,0.57485,1.02555,0.81391,1.03363,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,8137.5,0.57456,0.40123,0.97059,0.82696,0.78688,0.75874,0.56641,1.00173,0.85656,1.03767,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8221.22,0.58456,0.40957,0.97424,0.83509,0.75904,0.76244,0.58165,1.02297,0.85368,1.04865,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
