epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,516.871,0.44362,0.59224,0.3525,0.86424,0.65462,0.68975,0.5338,nan,nan,nan,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,781.584,0.46112,0.55293,0.34299,0.85312,0.74644,0.78262,0.57768,0.34984,0.52763,0.25376,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,1045.89,0.44203,0.53429,0.33244,0.88525,0.74356,0.81634,0.6062,0.3266,0.49923,0.25345,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,1308.07,0.45626,0.52043,0.32283,0.89061,0.73092,0.82554,0.61705,0.33181,0.48802,0.26024,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,1563.23,0.45604,0.52643,0.31034,0.91948,0.73375,0.82722,0.62198,0.33805,0.4708,0.25191,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,1828.7,0.45651,0.50985,0.30118,0.86261,0.74699,0.79621,0.61,0.31198,0.51153,0.23649,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,2094.52,0.44365,0.51409,0.2938,0.81526,0.77108,0.82257,0.64285,0.31449,0.48602,0.22573,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,2358.12,0.43815,0.50734,0.28018,0.83588,0.7751,0.82525,0.61709,0.32277,0.50939,0.22286,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,2622.75,0.44561,0.49155,0.2948,0.83553,0.77526,0.82032,0.63259,0.3127,0.49634,0.24486,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,2884.35,0.44866,0.48712,0.29456,0.84689,0.77749,0.81179,0.58776,0.36572,0.5023,0.25699,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3145.67,0.44759,0.49586,0.29017,0.88013,0.78313,0.82018,0.5797,0.36445,0.50429,0.24849,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3411.08,0.44085,0.48802,0.28235,0.89336,0.77382,0.83541,0.62787,0.31325,0.48861,0.23261,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,3676.83,0.43968,0.48959,0.27246,0.88285,0.78694,0.83119,0.64715,0.30488,0.47673,0.23694,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,3935,0.44454,0.47231,0.28175,0.87437,0.75502,0.81778,0.61581,0.34574,0.47288,0.23151,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4198.77,0.41821,0.47712,0.26538,0.88317,0.80321,0.8469,0.63665,0.31069,0.47356,0.23353,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
